movie_id,tmdb_id,title,hours_viewed,global_availability,release_year,type,age_certification
tt0075314,tm84618,Taxi Driver,,,1976,MOVIE,R
tt0068473,tm154986,Deliverance,,,1972,MOVIE,R
tt0071853,tm127384,Monty Python and the Holy Grail,,,1975,MOVIE,PG
tt0061578,tm120801,The Dirty Dozen,,,1967,MOVIE,
tt0063929,ts22164,Monty Python's Flying Circus,,,1969,SHOW,TV-14
tt0079470,tm70993,Life of Brian,,,1979,MOVIE,R
tt0066999,tm14873,Dirty Harry,,,1971,MOVIE,R
tt0061418,tm119281,Bonnie and Clyde,,,1967,MOVIE,R
tt0080453,tm98978,The Blue Lagoon,,,1980,MOVIE,R
tt0054953,tm44204,The Guns of Navarone,,,1961,MOVIE,
tt0060862,tm67378,The Professionals,,,1966,MOVIE,PG-13
tt0079807,tm69997,Richard Pryor: Live in Concert,,,1979,MOVIE,R
tt0047673,tm16479,White Christmas,,,1954,MOVIE,
tt0051390,tm135083,Cairo Station,,,1958,MOVIE,
tt0191182,tm89386,Hitler: A Career,,,1977,MOVIE,PG
tt0068562,tm156453,FTA,,,1972,MOVIE,R
tt0077751,tm14350,Alexandria… Why?,,,1979,MOVIE,
tt0064038,tm81728,The Land,,,1969,MOVIE,
tt0080653,tm94651,Dostana,,,1980,MOVIE,
tt0057357,tm27298,Saladin the Victorious,,,1963,MOVIE,
tt0079749,tm100027,Alibaba Aur 40 Chor,,,1979,MOVIE,
tt0047500,tm19608,The Blazing Sun,,,1954,MOVIE,
tt0049761,tm204541,Dark Waters,,,1956,MOVIE,
tt0170799,tm259855,We Are All for the Fatherland,,,1979,MOVIE,
tt0268639,tm356209,Singapore,,,1960,MOVIE,
tt0202477,ts45948,Monty Python's Fliegender Zirkus,,,1972,SHOW,TV-MA
tt0169599,tm200475,"Beirut, Oh Beirut",,,1975,MOVIE,
tt0074168,tm90896,The Return of the Prodigal Son,,,1976,MOVIE,
tt0230412,tm336403,Khoon Khoon,,,1973,MOVIE,
tt0071811,tm107372,Manoranjan,,,1974,MOVIE,
tt0157132,tm358653,Ujala,,,1959,MOVIE,
tt0170803,tm259684,Whispers,,,1980,MOVIE,
tt3290368,tm403346,Chadi Jawani Budhe Nu,,,1976,MOVIE,
tt1219315,tm16812,Bandie,,,1978,MOVIE,
tt0098904,ts20681,Seinfeld,,,1989,SHOW,TV-PG
tt0099685,tm155787,GoodFellas,,,1990,MOVIE,R
tt0093058,tm22327,Full Metal Jacket,,,1987,MOVIE,R
tt0087843,tm180542,Once Upon a Time in America,,,1984,MOVIE,R
tt0098635,tm138875,When Harry Met Sally...,,,1989,MOVIE,R
tt0087800,tm2386,A Nightmare on Elm Street,,,1984,MOVIE,R
tt0098384,tm133087,Steel Magnolias,,,1989,MOVIE,PG
tt0087928,tm177480,Police Academy,,,1984,MOVIE,R
tt0085333,tm54450,Christine,,,1983,MOVIE,R
tt0083437,ts22082,Knight Rider,,,1982,SHOW,TV-PG
tt0086815,ts21715,Thomas & Friends,,,1984,SHOW,TV-Y
tt0096694,ts20678,Saved by the Bell,,,1989,SHOW,TV-G
tt0099077,tm145608,Awakenings,,,1990,MOVIE,PG-13
